,pathway,ES,p_val,NES,FDR
282,LEU_UP,0.136071494,0.35803871,0.577220086,0.875503226
216,ST_ERK1_ERK2_MAPK_Pathway,-0.135128195,0.946135484,0.576515091,0.876003226
235,tcrPathway,0.134919333,0.47313871,0.572332576,0.879287097
171,no1Pathway,-0.13275114,0.544964516,0.566373552,0.883916129
100,il2rbPathway,-0.132583654,0.668319355,0.565658982,0.884470968
275,HOXA9_DOWN,0.132312815,0.643180645,0.561275637,0.887735484
263,mitochondr,0.131962347,0.410751613,0.559788937,0.888764516
279,RAP_DOWN,0.13132079,0.471609677,0.557067429,0.890777419
199,SA_PTEN_PATHWAY,-0.129069426,0.800019355,0.550665772,0.895325806
101,il6Pathway,-0.128410781,0.916748387,0.547855712,0.8973
24,cell_adhesion_molecule_activity,0.12880683,0.5967,0.546403121,0.898319355
251,vipPathway,0.128797771,0.527819355,0.546364695,0.898325806
237,TGF_Beta_Signaling_Pathway,-0.127834376,0.526712903,0.545396519,0.899016129
50,CR_TRANSCRIPTION_FACTORS,0.128188861,0.704903226,0.543781677,0.900167742
166,nfatPathway,-0.126918878,0.371580645,0.541490607,0.901864516
72,fasPathway,-0.126255752,0.304109677,0.538661429,0.903816129
76,fcer1Pathway,0.126928381,0.379041935,0.538434675,0.903929032
55,cxcr4Pathway,0.124743355,0.374451613,0.529165717,0.910119355
144,MAP00620_Pyruvate_metabolism,0.123565266,0.399048387,0.524168225,0.913248387
208,SIG_PIP3SIGINCARDIACMYOCTES,0.123457235,0.285990323,0.523709952,0.913590323
307,ADULT_LIVER_vs_FETAL_LIVER_GNF2,0.123153172,0.472545161,0.522420105,0.914351613
59,DNA_DAMAGE_SIGNALLING,-0.121982283,0.479567742,0.52042897,0.915693548
253,Wnt_Signaling,-0.120445749,0.452425806,0.51387345,0.919764516
131,MAP00330_Arginine_and_proline_metabolism,0.117519297,0.8056,0.498521011,0.928925806
304,KRAS_TOP100_CONTROL,-0.116766467,0.405487097,0.49817605,0.929116129
176,p53_signalling,-0.11543743,0.504619355,0.492505805,0.932093548
107,integrinPathway,-0.114448895,0.728832258,0.488288288,0.934448387
47,CR_PROTEIN_MOD,0.114884579,0.542332258,0.487344442,0.934925806
308,FETAL_LIVER_HS_ENRICHED_TF_JP,0.114225992,0.207119355,0.484550694,0.9363
7,at1rPathway,0.113400262,0.211783871,0.48104792,0.938129032
298,HEMO_TF_LIST_JP,0.110976798,0.546467742,0.470767498,0.943274194
23,cell_adhesion,-0.110180127,0.458164516,0.470075885,0.943664516
278,RAP_UP,0.10936568,0.324041935,0.463933077,0.946754839
154,mapkPathway,-0.108108052,0.524119355,0.46123552,0.948019355
70,erkPathway,0.107767977,0.073222581,0.457155565,0.949987097
77,fmlppathway,0.106251995,0.189458065,0.450724718,0.952832258
15,ca_nf_at_signalling,-0.103759991,0.471012903,0.442684821,0.956358065
184,pparaPathway,-0.101726828,0.292719355,0.43401047,0.959654839
300,HUMAN_CD34_ENRICHED_TF_JP,0.10177789,0.507719355,0.431745406,0.960496774
112,MAP00010_Glycolysis_Gluconeogenesis,0.098184003,0.503196774,0.41650001,0.966109677
86,gpcrPathway,0.097911974,0.333664516,0.415346051,0.966545161
301,PROLIF_GENES,-0.09486325,0.402696774,0.40472749,0.970174194
109,keratinocytePathway,-0.093441984,0.513467742,0.398663758,0.972132258
92,hivnefPathway,-0.092060274,0.486012903,0.392768789,0.973870968
105,insulin_signalling,-0.091421664,0.524503226,0.3900442,0.974664516
273,HTERT_UP,-0.09021635,0.45823871,0.384901812,0.976119355
280,GLUT_UP,-0.088648386,0.472564516,0.378212205,0.977951613
264,PGC,0.051383028,0.531503226,0.217968621,0.999103226
